stockcode,quantity,invoicedate,unitprice,customerid,country
21622,8,2025-03-01 10:03:00,4.95,12431.0,Australia
21791,12,2025-03-01 10:03:00,1.25,12431.0,Australia
35004C,6,2025-03-01 10:03:00,5.45,12431.0,Australia
35004G,4,2025-03-01 10:03:00,6.35,12431.0,Australia
85014B,6,2025-03-01 10:03:00,5.95,12431.0,Australia
85014A,3,2025-03-01 10:03:00,5.95,12431.0,Australia
22193,2,2025-03-01 10:03:00,8.5,12431.0,Australia
22726,4,2025-03-01 10:03:00,3.75,12431.0,Australia
22727,4,2025-03-01 10:03:00,3.75,12431.0,Australia
22192,2,2025-03-01 10:03:00,8.5,12431.0,Australia
22191,2,2025-03-01 10:03:00,8.5,12431.0,Australia
22195,24,2025-03-01 10:03:00,1.65,12431.0,Australia
22196,24,2025-03-01 10:03:00,0.85,12431.0,Australia
22941,2,2025-03-01 10:19:00,8.5,17511.0,United Kingdom
22960,12,2025-03-01 10:19:00,3.75,17511.0,United Kingdom
22961,12,2025-03-01 10:19:00,1.45,17511.0,United Kingdom
22962,48,2025-03-01 10:19:00,0.72,17511.0,United Kingdom
22963,48,2025-03-01 10:19:00,0.72,17511.0,United Kingdom
22968,8,2025-03-01 10:19:00,8.5,17511.0,United Kingdom
84970S,144,2025-03-01 10:19:00,0.64,17511.0,United Kingdom
22910,40,2025-03-01 10:19:00,2.55,17511.0,United Kingdom
20668,288,2025-03-01 10:19:00,0.1,17511.0,United Kingdom
85123A,64,2025-03-01 10:19:00,2.55,17511.0,United Kingdom
22197,100,2025-03-01 10:19:00,0.72,17511.0,United Kingdom
22198,50,2025-03-01 10:19:00,1.45,17511.0,United Kingdom
21533,12,2025-03-01 10:19:00,4.25,17511.0,United Kingdom
21080,96,2025-03-01 10:19:00,0.64,17511.0,United Kingdom
21094,96,2025-03-01 10:19:00,0.64,17511.0,United Kingdom
21086,48,2025-03-01 10:19:00,0.65,17511.0,United Kingdom
21786,144,2025-03-01 10:19:00,0.32,17511.0,United Kingdom
22654,40,2025-03-01 10:19:00,4.95,17511.0,United Kingdom
21485,24,2025-03-01 10:19:00,4.25,17511.0,United Kingdom
84029G,24,2025-03-01 10:19:00,3.39,17511.0,United Kingdom
84030E,24,2025-03-01 10:19:00,3.75,17511.0,United Kingdom
22174,48,2025-03-01 10:19:00,1.48,17511.0,United Kingdom
22969,96,2025-03-01 10:19:00,1.25,17511.0,United Kingdom
85099B,100,2025-03-01 10:19:00,1.65,17511.0,United Kingdom
22556,-12,2025-03-01 10:24:00,1.65,17548.0,United Kingdom
21984,-24,2025-03-01 10:24:00,0.29,17548.0,United Kingdom
21983,-24,2025-03-01 10:24:00,0.29,17548.0,United Kingdom
21980,-24,2025-03-01 10:24:00,0.29,17548.0,United Kingdom
21484,-12,2025-03-01 10:24:00,3.45,17548.0,United Kingdom
22557,-12,2025-03-01 10:24:00,1.65,17548.0,United Kingdom
22553,-24,2025-03-01 10:24:00,1.65,17548.0,United Kingdom
22150,6,2025-03-01 10:29:00,1.95,13705.0,United Kingdom
22619,4,2025-03-01 10:29:00,3.75,13705.0,United Kingdom
21891,12,2025-03-01 10:29:00,1.25,13705.0,United Kingdom
21889,12,2025-03-01 10:29:00,1.25,13705.0,United Kingdom
22827,1,2025-03-01 10:29:00,165.0,13705.0,United Kingdom
22127,12,2025-03-01 10:29:00,1.25,13705.0,United Kingdom
22128,12,2025-03-01 10:29:00,1.25,13705.0,United Kingdom
22502,4,2025-03-01 10:29:00,5.95,13705.0,United Kingdom
84879,16,2025-03-01 10:29:00,1.69,13705.0,United Kingdom
22338,24,2025-03-01 10:29:00,0.65,13705.0,United Kingdom
22180,8,2025-03-01 10:37:00,9.95,13747.0,United Kingdom
21506,24,2025-03-01 10:39:00,0.42,13408.0,United Kingdom
22633,96,2025-03-01 10:39:00,1.85,13408.0,United Kingdom
22866,96,2025-03-01 10:39:00,1.85,13408.0,United Kingdom
22865,96,2025-03-01 10:39:00,1.85,13408.0,United Kingdom
22632,96,2025-03-01 10:39:00,1.85,13408.0,United Kingdom
21485,12,2025-03-01 10:39:00,4.95,13408.0,United Kingdom
22349,12,2025-03-01 10:39:00,3.75,13408.0,United Kingdom
22558,48,2025-03-01 10:39:00,1.25,13408.0,United Kingdom
85152,12,2025-03-01 10:39:00,2.1,13408.0,United Kingdom
85123A,32,2025-03-01 10:39:00,2.55,13408.0,United Kingdom
22652,20,2025-03-01 10:39:00,1.65,13408.0,United Kingdom
22188,8,2025-03-01 10:47:00,3.95,13767.0,United Kingdom
84879,32,2025-03-01 10:47:00,1.69,13767.0,United Kingdom
21977,24,2025-03-01 10:47:00,0.55,13767.0,United Kingdom
84991,24,2025-03-01 10:47:00,0.55,13767.0,United Kingdom
21212,24,2025-03-01 10:47:00,0.55,13767.0,United Kingdom
21484,8,2025-03-01 10:47:00,3.45,13767.0,United Kingdom
21314,8,2025-03-01 10:47:00,2.1,13767.0,United Kingdom
22730,4,2025-03-01 10:47:00,3.75,13767.0,United Kingdom
22727,8,2025-03-01 10:47:00,3.75,13767.0,United Kingdom
22729,8,2025-03-01 10:47:00,3.75,13767.0,United Kingdom
22726,8,2025-03-01 10:47:00,3.75,13767.0,United Kingdom
22114,8,2025-03-01 10:47:00,3.95,13767.0,United Kingdom
22867,48,2025-03-01 10:47:00,2.1,13767.0,United Kingdom
22866,48,2025-03-01 10:47:00,2.1,13767.0,United Kingdom
85123A,6,2025-03-01 10:51:00,2.55,17850.0,United Kingdom
71053,6,2025-03-01 10:51:00,3.39,17850.0,United Kingdom
84406B,8,2025-03-01 10:51:00,2.75,17850.0,United Kingdom
15056BL,6,2025-03-01 10:51:00,4.95,17850.0,United Kingdom
20679,6,2025-03-01 10:51:00,4.95,17850.0,United Kingdom
37370,6,2025-03-01 10:51:00,1.06,17850.0,United Kingdom
21871,6,2025-03-01 10:51:00,1.06,17850.0,United Kingdom
21071,6,2025-03-01 10:51:00,1.06,17850.0,United Kingdom
21068,6,2025-03-01 10:51:00,1.06,17850.0,United Kingdom
82483,2,2025-03-01 10:51:00,4.95,17850.0,United Kingdom
82486,4,2025-03-01 10:51:00,6.95,17850.0,United Kingdom
82482,6,2025-03-01 10:51:00,2.1,17850.0,United Kingdom
82494L,12,2025-03-01 10:51:00,2.55,17850.0,United Kingdom
84029G,6,2025-03-01 10:51:00,3.39,17850.0,United Kingdom
84029E,6,2025-03-01 10:51:00,3.39,17850.0,United Kingdom
22752,2,2025-03-01 10:51:00,7.65,17850.0,United Kingdom
22803,2,2025-03-01 10:51:00,35.75,17850.0,United Kingdom
21730,6,2025-03-01 10:51:00,4.25,17850.0,United Kingdom
35004B,12,2025-03-01 10:51:00,4.65,17924.0,United Kingdom
35004C,48,2025-03-01 10:51:00,4.65,17924.0,United Kingdom
21980,24,2025-03-01 10:52:00,0.29,13448.0,United Kingdom
21844,6,2025-03-01 10:52:00,2.95,13448.0,United Kingdom
22468,4,2025-03-01 10:52:00,6.75,13448.0,United Kingdom
22637,8,2025-03-01 10:52:00,2.55,13448.0,United Kingdom
22752,6,2025-03-01 10:52:00,8.5,13448.0,United Kingdom
48185,2,2025-03-01 10:52:00,7.95,13448.0,United Kingdom
22632,12,2025-03-01 10:52:00,2.1,13448.0,United Kingdom
22866,12,2025-03-01 10:52:00,2.1,13448.0,United Kingdom
22865,12,2025-03-01 10:52:00,2.1,13448.0,United Kingdom
21232,12,2025-03-01 10:52:00,1.25,13448.0,United Kingdom
22064,12,2025-03-01 10:52:00,1.65,13448.0,United Kingdom
22449,6,2025-03-01 10:52:00,3.35,13448.0,United Kingdom
22114,4,2025-03-01 10:52:00,3.95,13448.0,United Kingdom
22835,8,2025-03-01 10:52:00,4.65,13448.0,United Kingdom
22112,9,2025-03-01 10:52:00,4.95,13448.0,United Kingdom
21479,4,2025-03-01 10:52:00,3.75,13448.0,United Kingdom
22111,9,2025-03-01 10:52:00,4.95,13448.0,United Kingdom
22632,6,2025-03-01 10:52:00,1.85,17850.0,United Kingdom
22633,6,2025-03-01 10:52:00,1.85,17850.0,United Kingdom
22969,12,2025-03-01 10:53:00,1.45,13448.0,United Kingdom
22110,1,2025-03-01 11:21:00,2.55,15862.0,United Kingdom
22098,1,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
22100,2,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
22766,1,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
22451,1,2025-03-01 11:21:00,3.35,15862.0,United Kingdom
22549,1,2025-03-01 11:21:00,1.45,15862.0,United Kingdom
84744,1,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
85049E,2,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
21328,1,2025-03-01 11:21:00,1.65,15862.0,United Kingdom
22961,4,2025-03-01 11:21:00,1.45,15862.0,United Kingdom
17091A,1,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
22473,1,2025-03-01 11:21:00,4.95,15862.0,United Kingdom
84509A,2,2025-03-01 11:21:00,3.75,15862.0,United Kingdom
84510A,2,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
22767,2,2025-03-01 11:21:00,9.95,15862.0,United Kingdom
22768,1,2025-03-01 11:21:00,9.95,15862.0,United Kingdom
21463,1,2025-03-01 11:21:00,5.95,15862.0,United Kingdom
21464,1,2025-03-01 11:21:00,4.25,15862.0,United Kingdom
20820,3,2025-03-01 11:21:00,4.95,15862.0,United Kingdom
85150,1,2025-03-01 11:21:00,2.55,15862.0,United Kingdom
22117,1,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
21169,2,2025-03-01 11:21:00,1.69,15862.0,United Kingdom
48129,1,2025-03-01 11:21:00,7.95,15862.0,United Kingdom
82580,1,2025-03-01 11:21:00,0.55,15862.0,United Kingdom
82578,1,2025-03-01 11:21:00,0.55,15862.0,United Kingdom
82581,2,2025-03-01 11:21:00,0.55,15862.0,United Kingdom
22413,4,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
21907,2,2025-03-01 11:21:00,2.1,15862.0,United Kingdom
22441,1,2025-03-01 11:21:00,2.1,15862.0,United Kingdom
21122,1,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
22851,1,2025-03-01 11:21:00,0.85,15862.0,United Kingdom
84991,3,2025-03-01 11:21:00,0.55,15862.0,United Kingdom
22810,1,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
22809,1,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
22435,2,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
20966,3,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
20963,1,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
20961,1,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
22068,2,2025-03-01 11:21:00,1.65,15862.0,United Kingdom
21743,2,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
21744,2,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
84709B,1,2025-03-01 11:21:00,5.95,15862.0,United Kingdom
21592,1,2025-03-01 11:21:00,1.25,15862.0,United Kingdom
21587,2,2025-03-01 11:21:00,2.55,15862.0,United Kingdom
20992,9,2025-03-01 11:21:00,0.85,15862.0,United Kingdom
22662,1,2025-03-01 11:21:00,1.65,15862.0,United Kingdom
85123A,4,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
22804,3,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
82483,1,2025-03-01 11:21:00,5.95,15862.0,United Kingdom
20749,1,2025-03-01 11:21:00,7.95,15862.0,United Kingdom
20725,1,2025-03-01 11:21:00,1.65,15862.0,United Kingdom
22382,2,2025-03-01 11:21:00,1.65,15862.0,United Kingdom
20726,1,2025-03-01 11:21:00,1.65,15862.0,United Kingdom
22384,1,2025-03-01 11:21:00,1.65,15862.0,United Kingdom
22467,5,2025-03-01 11:21:00,2.55,15862.0,United Kingdom
84625C,3,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
84625A,3,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
21108,9,2025-03-01 11:21:00,2.55,15862.0,United Kingdom
22848,1,2025-03-01 11:21:00,16.95,15862.0,United Kingdom
21033,4,2025-03-01 11:21:00,2.95,15862.0,United Kingdom
47570B,1,2025-03-01 11:21:00,10.65,15862.0,United Kingdom
84030E,1,2025-03-01 11:21:00,4.25,15862.0,United Kingdom
22428,2,2025-03-01 11:21:00,6.95,15862.0,United Kingdom
22502,2,2025-03-01 11:21:00,5.95,15862.0,United Kingdom
22086,40,2025-03-01 11:22:00,2.55,15513.0,United Kingdom
22910,40,2025-03-01 11:22:00,2.55,15513.0,United Kingdom
22837,36,2025-03-01 11:22:00,4.25,15513.0,United Kingdom
22867,96,2025-03-01 11:27:00,1.85,12791.0,Netherlands
POST,1,2025-03-01 11:27:00,15.0,12791.0,Netherlands
22297,24,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
22771,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
22772,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
22773,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
22805,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
22469,12,2025-03-01 11:29:00,1.65,16218.0,United Kingdom
22197,36,2025-03-01 11:29:00,0.85,16218.0,United Kingdom
21125,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
21126,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
85049C,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
85049D,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
85049E,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
85049G,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
21061,12,2025-03-01 11:29:00,0.85,16218.0,United Kingdom
21063,12,2025-03-01 11:29:00,0.85,16218.0,United Kingdom
21062,12,2025-03-01 11:29:00,0.85,16218.0,United Kingdom
84380,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
84378,12,2025-03-01 11:29:00,1.25,16218.0,United Kingdom
22964,12,2025-03-01 11:29:00,2.1,16218.0,United Kingdom
21213,24,2025-03-01 11:29:00,0.55,16218.0,United Kingdom
22417,24,2025-03-01 11:29:00,0.55,16218.0,United Kingdom
21212,24,2025-03-01 11:29:00,0.55,16218.0,United Kingdom
84992,24,2025-03-01 11:29:00,0.55,16218.0,United Kingdom
21975,24,2025-03-01 11:29:00,0.55,16218.0,United Kingdom
22383,10,2025-03-01 11:29:00,1.65,16218.0,United Kingdom
